Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2009;Geneva;47872000;8695258;492029;30974;461055;684662;346765;102184;81348;132233;7434;14697;2385804;638301;99025;323858;182104;9532;881951;177695;73339;116736;17897;33310;5487;59772;270;1284907;935380;128768;89414;115200;16145;1651312;251671;297310;252554;77460;125502;86265;544948;0;15601;465770;52712;408273;4786;0;89739;0;32439;12704;12640;2419;120;11641;17775;364432;29644;12232;3447;625;49260;236085;33138;0;1159867;327655;157123;335493;12294;327302
2010;Geneva;49868000;8636049;537762;30653;507109;705913;363983;101209;82175;139707;1511;17328;2475795;649411;130291;350222;189840;2468;909533;167321;76710;125804;17380;37081;5927;64791;625;1350367;1005944;124114;88173;115000;17137;1729398;278451;310328;285346;70332;134034;103325;531126;0;16456;526373;101387;418323;6663;0;81250;0;29445;8663;2180;7460;0;14685;18817;86349;28407;10216;3203;170;26995;0;17359;0;1017037;210483;169363;321352;131;315707
2011;Geneva;49873000;8744033;596600;25637;570963;824960;407834;129487;160406;113291;3027;10914;2358870;693644;128518;220063;203521;915;842340;183429;86442;97196;12108;33124;6226;45110;628;1359654;1028247;131651;70663;115000;14092;1841457;280723;335774;293020;115717;133553;105774;561690;0;15205;492254;108811;377348;6095;0;106463;0;24767;10952;2201;37431;134;10008;20969;96219;34155;1432;228;733;44372;0;15300;0;970359;160272;176872;319152;162;313900
2012;Geneva;49630000;9551692;1380678;32035;1348643;760543;354130;143889;139758;109195;404;13166;2398543;731692;128394;180222;226349;22640;863509;187590;58148;97646;12184;41563;3792;40073;34;1286620;865065;150386;62128;188926;20115;2002186;267343;334999;318438;157383;123266;129304;654495;0;16958;497936;208146;286672;3117;0;104927;0;21806;9284;5378;21721;11193;10994;24552;89416;36137;1599;311;0;43483;0;7886;0;933197;79635;190171;351323;183;311884
2013;Geneva;50446000;8908583;743283;33774;704656;788575;345508;157362;154466;119170;2389;9680;2427784;720616;133572;212058;209741;16683;878540;195559;61014;87521;15476;34292;5792;31901;60;1335044;901218;154447;62329;188675;28375;1850958;274612;341879;174910;157250;111223;105829;669005;0;16251;493810;160843;332967;0;0;119057;0;22604;8552;3352;33857;21063;4483;25146;135993;32732;0;0;2059;33140;0;68061;0;926558;86933;202949;366034;202;270439
2014;Geneva;50846000;8815400;579986;31612;544615;812296;345364;160080;174537;119625;2234;10456;2381777;669612;134781;219100;208761;15856;871403;202537;59727;97454;17092;40726;6087;33049;500;1346544;904278;159319;68619;190137;24191;1974199;280433;341833;250024;168712;120027;114034;682335;0;16800;493621;116012;377610;0;0;107282;0;21294;8305;278;38746;13756;4610;20293;79520;31661;0;0;2110;29456;0;16293;0;942721;95003;208981;377453;407;260877
2015;Geneva;50048000;9005709;529908;34433;493229;840706;348328;171331;178424;130279;1001;11343;2528773;702050;134535;212736;211083;15367;957310;225556;70135;98222;19357;41717;4545;32303;300;1374071;921158;167411;69046;190281;26174;2013343;291808;349667;256552;176913;115740;92691;713449;0;16523;529844;141439;388405;0;0;104380;0;20789;7794;296;33561;11895;4427;25617;74156;32174;0;0;2265;24991;0;14726;0;912306;91279;211175;363243;390;246219
2016;Geneva;50483000;9012651;528884;32935;492689;819188;352428;167889;170920;113441;1008;13501;2570258;681152;137554;251011;245270;17666;938193;247564;51848;112223;17495;49199;4650;40730;150;1321212;857636;170590;76583;188127;28276;2089863;326379;357244;267722;174508;95879;85407;765183;0;17540;516775;112655;404120;0;0;99938;0;10172;6292;225;32188;22446;3172;25443;67002;32206;0;0;2411;23332;0;9052;0;887309;87290;213043;352916;309;233751
2017;Geneva;52370000;9320133;551710;33421;511267;855957;371234;184400;162213;120760;1047;16303;2595265;688950;143446;249183;250093;19743;940566;249269;54016;116861;17784;40199;6106;52652;120;1398298;924516;181005;78241;188848;25688;2165881;330217;370003;268933;187939;92782;88915;810875;0;16217;583849;125242;458607;0;0;91954;0;10324;3143;172;28451;22254;80;27529;89907;34327;0;0;2128;23804;0;29648;0;870452;87923;218262;368165;260;195843
2018;Geneva;54530000;9564340;706689;39419;653442;881902;381368;189806;160384;125493;1722;23129;2634695;693711;140882;243773;238662;16442;951743;250829;98653;139772;16795;53947;5763;63267;0;1378967;911223;192070;73026;189059;13590;2176392;341272;371312;257158;178726;82292;83328;845671;0;16632;556323;131433;399899;24992;0;90353;0;13998;3139;182;30612;15377;15;27031;89595;34260;0;0;350;24446;0;30539;0;909651;81897;227688;412337;237;187492
2019;Geneva;55235000;9817278;589978;35674;535028;942775;399307;208598;168357;128116;1812;36586;2706287;732847;154975;231742;239759;14834;971444;250973;109714;131364;14161;53410;4923;58870;0;1473097;974292;218689;73926;191870;14320;2279130;352053;386262;264930;192231;80960;86419;900049;0;16226;575015;144378;405724;24913;0;96458;0;11808;3279;212;36087;18086;32;26953;92773;33131;0;0;350;26129;0;33164;0;930402;82715;234808;415798;197;196884
2020;Geneva;0;15851322;5908698;30324;5861318;943193;402409;193679;179816;134042;999;32247;2769387;740040;190381;238272;242837;14825;987881;251496;103655;145993;14828;68138;5338;57669;20;1679780;1171445;225790;66789;201840;13916;2506551;528736;396526;263066;186611;117369;82708;915664;0;15872;611892;143385;443408;25098;0;98749;0;12194;2882;208;36603;19329;23;27511;195790;35135;0;0;4500;125967;0;30188;0;991290;75398;245843;396280;20627;253142
1990;Glarus;0;265015;13199;1411;11787;19141;7854;2293;152;2068;40;6735;40696;23005;1433;7397;5609;738;2055;0;459;4210;1263;1495;0;1452;0;37023;35006;312;801;0;903;20144;1228;4083;11871;385;363;1467;747;0;1;23960;22775;1185;0;0;8976;0;6374;0;1177;3;0;1161;261;39659;13067;25182;668;0;742;0;0;0;58008;0;0;3268;52497;2242
1991;Glarus;0;289716;17892;1515;16377;21125;8285;2542;264;2595;26;7414;44461;24939;1216;8140;6580;945;2165;0;478;4687;1621;1722;0;1344;0;37981;36344;361;821;0;454;23575;1750;4807;13515;403;365;1309;1426;0;1;24801;24334;467;0;0;10947;0;6584;0;2174;95;0;1757;337;45046;13896;24887;692;0;571;5000;0;0;59201;0;0;3426;52873;2902
1992;Glarus;0;274861;19940;1624;18316;21913;8799;2793;339;2501;51;7430;49255;24937;1221;11757;7186;1113;2428;0;611;5016;1234;2682;0;1099;0;42914;41096;402;918;0;499;24247;1649;5512;13580;434;473;1108;1490;0;1;16874;16039;835;0;0;11574;0;6593;4;1371;78;0;3191;336;23358;15529;6995;727;0;107;0;0;0;59771;0;0;3403;52848;3520
1993;Glarus;0;293034;17152;1537;15614;22191;9298;3548;561;2652;0;6132;53204;27073;4017;10559;7412;1178;2465;0;499;6546;2608;2453;0;1486;0;43406;41607;453;833;0;512;30513;1736;6408;13923;519;5621;725;1580;0;1;17554;16684;870;0;0;8214;0;5270;3;1234;78;0;1267;362;29600;17478;11005;732;0;384;0;0;0;64655;0;0;3533;57615;3507
1994;Glarus;0;294605;16439;1659;14780;23373;10150;3561;583;2717;0;6361;54142;29238;1977;10510;7807;1578;2488;0;544;3917;887;2041;0;989;0;48574;47012;172;897;0;493;29494;1665;7097;14063;660;3057;1141;1811;0;0;15471;14564;907;0;0;7955;0;3022;10;2175;96;0;1941;711;31881;19191;10916;752;0;1023;0;0;0;63359;0;0;3578;56376;3405
1995;Glarus;0;305962;15473;1664;13809;25469;12899;3550;433;2733;0;5854;56179;29424;1909;11307;8739;1459;2786;0;555;4373;787;1780;1;1805;0;53138;51310;215;881;0;731;28949;1718;7688;15321;707;856;703;1955;0;1;17160;16136;1024;0;0;7981;0;3928;0;1982;123;0;1500;448;29614;18888;8988;856;0;883;0;0;0;67628;0;0;3884;60078;3665
1996;Glarus;0;329364;15417;1713;13703;28204;15427;3593;542;2943;0;5699;56772;29541;2408;11011;8497;1589;3152;0;573;4844;1533;1749;1;1561;0;58156;56286;130;921;0;819;31001;3273;7225;13270;577;4084;614;1958;0;1;21533;18230;3303;0;0;7311;0;3709;0;1677;116;0;1541;268;37176;22772;8539;866;0;0;5000;0;0;68951;0;0;3772;61578;3601
1997;Glarus;0;348574;15152;1678;13475;23697;11519;3721;341;2857;0;5258;58503;30809;2184;11402;8497;1770;3280;0;563;4971;985;1927;9;2051;0;66360;64457;124;884;0;895;47158;13496;7632;14140;738;9022;649;1482;0;1;24148;10258;13890;0;0;6023;0;2787;0;1277;162;0;1517;280;36593;23249;7450;880;0;2;5000;12;0;65970;0;0;3659;58817;3494
1998;Glarus;0;336786;15508;1791;13717;24993;10856;4703;979;3464;0;4990;58280;29605;2425;12082;8763;3016;1825;0;564;4362;945;1852;8;1558;0;66531;64720;128;847;0;835;43422;9975;8130;14227;577;8091;965;1456;0;1;15648;11187;4461;0;0;6010;0;2840;0;1078;136;0;1547;409;35540;22549;7143;837;0;0;5000;11;0;66493;0;0;3524;58852;4118
1999;Glarus;0;332900;16207;1753;14454;23577;10785;3931;1191;3510;0;4160;60762;30081;2736;11670;9530;3694;2464;0;587;4646;1473;2246;3;924;0;65652;63947;77;879;0;749;40114;10231;8933;16423;610;1738;344;1835;0;1;14588;12682;1905;0;0;6507;0;2484;0;1701;303;0;1554;464;33940;23859;9118;886;60;2;0;15;0;66907;0;0;3508;59993;3406
2000;Glarus;0;343769;17647;1793;15854;23891;10944;4066;1357;3476;0;4048;63192;30743;2809;13502;10099;2326;2874;0;840;5125;1132;2170;42;1781;0;65364;63649;144;884;0;686;39134;9491;9467;16448;659;1501;257;1312;0;0;17302;15285;2016;0;0;5931;0;2230;0;1340;122;0;1524;716;33869;24036;8708;1052;60;2;0;11;0;72313;0;0;3709;64764;3841
2001;Glarus;0;347541;20294;1863;18431;24368;11055;4531;1052;3477;0;4254;63854;30132;2515;14604;10211;883;4867;0;642;7105;1484;2176;48;3398;0;67742;65839;135;921;0;847;40682;10170;10432;16474;689;1287;119;1511;0;0;19147;16730;2417;0;0;5762;0;1110;0;2226;167;0;1586;673;30855;23596;6207;942;60;0;0;50;0;67732;0;0;4057;60274;3402
2002;Glarus;0;378827;22026;1935;20091;26866;13979;4052;700;4026;0;4110;67279;32719;3158;14247;10196;869;5413;0;677;8463;1657;2525;13;4268;0;68764;66745;143;911;0;965;52268;18677;10454;19212;635;1429;350;1511;0;0;27646;25008;2637;0;0;7058;0;2164;0;2470;132;0;1627;664;33468;25444;7007;956;60;0;0;0;0;64989;0;0;3848;56971;4169
2003;Glarus;0;384038;17064;1680;15385;28737;16484;3807;544;3832;0;4071;73291;35319;3687;15847;10321;971;6415;0;731;6398;1354;2174;3;2868;0;65872;63849;124;892;0;1007;56989;20531;12846;19228;713;1800;348;1523;0;0;28557;25884;2673;0;0;6355;0;297;0;3624;169;0;1585;680;32691;25712;5683;945;60;0;0;290;0;68083;0;0;4024;60512;3547
2004;Glarus;0;368686;17037;1682;15355;24095;11430;3547;912;3628;0;4578;73571;34327;3726;17326;10150;978;6361;0;702;10947;923;2152;16;7855;0;63204;61217;115;887;0;985;56199;19808;13133;18663;700;2256;255;1383;0;0;18716;15953;2764;0;0;5591;0;354;0;3266;203;0;1058;711;30844;25049;4788;874;0;0;0;132;0;68483;0;0;3926;58729;5828
2005;Glarus;0;368775;17099;1656;15443;23811;11387;3571;904;3836;0;4114;81849;34485;3853;24243;10154;1077;7328;0;709;5353;635;1891;10;2818;0;62937;61130;106;749;0;952;50954;15596;13140;17389;664;2448;11;1707;0;0;20654;17581;3073;0;0;6911;0;437;0;3998;288;0;1394;794;29981;24823;4187;832;0;0;0;138;0;69228;0;0;4041;58502;6684
2006;Glarus;0;364930;18147;1768;16378;24502;11850;3735;1102;3654;0;4162;71831;32689;3354;15486;9783;1373;8421;0;724;3821;799;1819;12;1192;0;65019;63316;99;756;0;849;51392;13956;13770;16708;702;2564;40;3653;0;0;22655;19565;3090;0;0;6147;0;206;0;3851;170;0;1097;823;30188;24218;4962;795;0;0;0;212;0;71228;0;0;4239;61643;5345
2007;Glarus;0;375595;19865;1719;18146;24092;11827;3722;1221;4084;0;3238;71184;31491;3425;16265;9624;229;9405;0;747;4135;471;2159;16;1490;0;66013;64303;114;726;0;871;54564;12619;15493;16461;705;2703;0;6583;0;0;24041;19830;4211;0;0;8697;0;49;0;6450;206;0;1142;850;29416;24528;3866;772;0;0;0;250;0;73586;0;0;4467;63841;5278
2008;Glarus;2547000;387963;21601;1843;19759;26165;12442;4795;947;4977;0;3004;81017;31993;8770;17393;10981;91;11038;0;750;3927;606;2227;0;1094;0;56727;54702;96;773;0;1156;60605;11681;14166;9182;4585;2315;10;18665;0;0;18570;13407;5049;115;0;9821;0;110;0;7705;644;4;1357;0;57219;24210;3783;893;2070;1262;25000;0;0;52311;0;0;647;47020;4643
2009;Glarus;2479000;377000;21813;1787;20026;27543;13265;5752;872;4977;0;2677;83523;33321;9268;17745;10827;73;11505;0;785;4299;719;2514;87;979;0;58572;56290;762;762;0;758;64189;13018;13856;10347;4628;2704;0;19636;0;0;17908;12026;5881;0;0;10378;0;196;0;7116;1001;11;2055;0;34579;25405;6041;894;0;1593;0;646;0;54197;0;0;647;49238;4311
2010;Glarus;2544000;380764;21166;1950;19216;30127;12995;6153;1214;6418;0;3346;85211;33772;10489;16929;10719;107;12341;0;854;4769;913;2820;40;996;0;58991;56571;814;783;0;824;69301;14870;14725;11319;4618;2772;0;20997;0;0;18492;12899;5593;0;0;10407;0;152;0;7555;1082;0;1618;0;34750;25248;5381;850;0;1554;0;1716;0;47551;0;0;647;43566;3338
2011;Glarus;2608000;342212;34855;2073;32782;29252;12750;5227;1404;6618;903;2350;58061;6445;11475;18336;10346;1287;9326;0;847;5727;2657;2051;45;974;0;61349;59169;723;1089;0;369;73390;17054;16512;8418;6060;3008;0;22338;0;0;18647;12059;6588;0;0;9967;0;61;68;7243;1147;299;1150;0;36979;26423;7325;887;70;1273;0;1002;0;13986;32;0;1647;9132;3175
2012;Glarus;2617000;304781;19304;2305;16999;29240;12602;5477;1132;6694;799;2537;60728;5739;14562;17010;10747;2098;9657;0;915;5029;2197;1929;31;872;0;47261;45206;719;992;0;344;73253;14415;17255;8359;6650;2853;0;23720;0;0;18042;12314;5728;0;0;6771;0;134;82;2673;1188;1344;1144;206;38153;27264;6914;900;0;1314;0;1761;0;7000;83;0;1647;2747;2521
2013;Glarus;2732000;320318;20658;2186;18472;30334;13898;5348;1359;6300;801;2628;63803;5353;13702;18450;12748;2330;10268;0;953;5359;2259;2240;24;836;0;43239;41007;744;1181;0;307;80969;15799;18927;9716;7321;2901;0;26306;0;0;16340;10349;5990;0;0;7709;0;263;59;2414;1253;2285;1180;255;44069;28716;6362;1293;47;1382;0;6268;0;7838;366;0;1636;2985;2850
2014;Glarus;2779000;343824;19650;2235;17415;30717;13504;4857;1899;6228;963;3265;66265;6867;13358;17395;14690;2283;10772;0;901;4896;1559;2481;14;842;0;46399;44797;124;1143;0;336;84306;13954;19736;10515;7498;2785;0;29817;0;0;16489;9766;6723;0;0;4873;0;153;68;1058;950;1283;1189;171;58721;31591;9099;973;123;1589;7974;6537;835;11508;613;0;5136;3124;2635
2015;Glarus;2755000;340180;23188;2062;21126;30541;13110;4896;2172;6530;994;2840;65262;5767;14023;16735;14464;2581;10826;0;867;4999;1781;2278;23;917;0;44140;42560;119;1037;0;425;88486;15393;22811;10846;7824;2860;0;28751;0;0;18935;10226;8709;0;0;6968;0;221;74;2537;948;1764;1179;244;47091;31792;7335;923;168;1528;0;5346;0;10570;789;0;5136;3479;1166
2016;Glarus;2756000;341756;19412;2226;17186;31250;13370;5740;2100;6742;973;2324;61490;5770;12893;16989;10784;3287;10859;0;909;5374;1578;2183;4;1609;0;45230;43756;111;970;0;393;85821;15582;19346;11301;7556;2815;0;29220;0;0;26266;12883;13384;0;0;8620;0;129;77;1680;1227;3576;1606;324;51541;33110;8797;997;162;1525;0;6950;0;6752;636;0;1604;3575;938
2017;Glarus;2887000;348089;19995;2289;17706;33343;14137;5596;2280;6729;957;3644;62741;5498;12713;17232;12139;3274;10999;0;886;7417;2076;2271;30;3041;0;46510;45048;109;976;0;376;85496;17825;19238;11521;6892;2989;0;27031;0;0;24848;13431;11418;0;0;6273;0;155;73;1437;1227;1725;1278;378;55060;34194;9285;1040;220;1348;0;8963;11;6405;485;0;1572;3761;587
2018;Glarus;2826000;349478;19814;2410;17404;34645;13869;6094;2476;6945;1056;4205;60141;5419;12494;17247;10206;2940;10909;0;927;6056;2147;2243;4;1662;0;46821;45073;178;1172;0;398;86992;18731;18181;11695;7022;2851;0;28511;0;0;24495;13577;10917;0;0;9231;0;121;50;3842;1283;2131;1492;313;54450;33227;9305;982;208;1482;0;9246;0;6833;584;0;2276;3602;371
2019;Glarus;2932000;359174;19953;2541;17412;36123;14249;6648;3328;7333;1202;3361;62389;5116;13507;18312;10350;3003;11102;0;999;8621;3667;2100;7;2848;0;49077;47071;167;1117;0;723;88756;19288;25804;12301;7718;2702;0;20942;0;0;31147;20149;10969;28;0;14557;0;0;79;9327;2284;1162;1482;223;41064;34114;1551;1026;130;1538;0;2705;0;7487;531;0;2995;3599;362
2020;Glarus;0;367654;21809;2165;19644;39186;15356;6781;3664;7166;1270;4949;63211;5146;12802;19498;10286;3030;11443;0;1005;11776;3729;2257;4;5786;0;51999;49502;367;1407;0;722;89093;19417;25540;13028;8083;2793;0;20231;0;0;29454;17855;11571;27;0;12652;0;0;77;8359;1541;1032;1458;184;40410;32511;1581;1018;2;1633;0;3665;0;8064;407;0;2464;4893;300
1990;Graubuenden;0;1137486;50903;2567;48336;95137;49232;9813;11345;10248;215;14285;168554;60760;4994;37536;38644;5840;18277;0;2503;34648;14676;9294;0;3780;6897;106352;99980;1165;2324;0;2884;76639;7787;14338;30236;1525;1796;5901;14945;0;112;258053;250498;7554;0;0;68215;5142;17641;2766;35733;774;0;3499;2660;242762;140727;88219;6439;4433;1093;0;1851;0;36223;796;773;14736;608;19310
1991;Graubuenden;0;1262343;56683;2721;53962;107262;55580;11103;13455;12979;215;13930;177920;61695;4394;44554;38002;6557;19683;0;3036;31049;13540;12811;5;4680;13;125278;117969;1490;2808;0;3011;89384;11402;18317;30910;1884;1855;6025;18830;0;161;297818;279766;18052;0;0;61057;5237;21583;4926;23502;1344;0;2058;2408;275146;167995;66037;7259;4730;2077;0;27048;0;40744;538;13;15826;837;23530
1992;Graubuenden;0;1307996;62301;3011;59290;113127;59190;13105;15790;12829;120;12092;198699;49243;5155;56035;47293;14701;22576;0;3696;32006;13897;13310;22;4778;0;132126;124345;2332;2599;0;2850;95935;9525;20427;35525;2022;2124;5972;20204;0;135;312132;287168;24964;0;0;59192;4333;25857;2160;19531;1268;0;2210;3832;254631;157666;50986;7563;6293;2491;0;29631;0;47847;2192;763;19392;1234;24265
1993;Graubuenden;0;1421082;60660;2905;57756;118912;66502;13797;13644;12764;158;12047;214780;52659;6447;59651;48823;20093;23337;0;3769;30191;14241;11157;20;4774;0;143223;133172;4242;2335;0;3474;117502;9930;22036;38070;1990;18146;6276;20790;0;265;324839;295594;29244;0;0;53875;5804;17632;1485;21179;1803;0;2110;3862;306067;178684;61565;7516;6839;3037;20000;28426;0;51032;3614;248;22487;1039;23645
1994;Graubuenden;0;1392154;63155;3160;59995;131782;76373;13071;14388;13595;100;14255;209942;54888;5995;53003;50266;16679;24910;0;4200;29200;12566;11468;20;5146;0;144970;133371;4997;2700;0;3901;113865;7779;25270;38807;1917;12401;7078;20443;0;168;313562;289965;23597;0;0;55819;5974;19398;1904;21041;1472;0;1947;4083;281098;173897;56189;7981;6703;2986;0;33342;0;48762;1913;490;22305;976;23079
1995;Graubuenden;0;1423820;65144;3075;62069;131145;74067;14129;17412;14230;100;11207;230939;64262;6955;56079;51291;21495;26786;0;4071;30765;14747;11637;0;4381;0;139210;128657;5103;2586;0;2865;130086;25120;25060;41306;2134;4142;6585;25609;0;130;300461;274205;26256;0;0;48631;5219;16609;1737;15985;2296;0;2769;4015;302107;184643;44016;7444;6550;2667;20000;36787;0;45332;3155;71;22820;931;18355
1996;Graubuenden;0;1487040;74435;3007;71429;131467;71638;14953;18195;16258;50;10374;241124;62019;6485;68718;53190;19373;27107;0;4233;27649;13601;10416;0;3632;0;136814;125559;5463;2822;0;2971;159471;35421;24954;42655;2016;17013;7114;30169;0;130;315910;286709;29201;0;0;55454;4633;15857;5969;16275;3425;0;5109;4187;301159;204437;43542;8052;7585;2949;0;34595;0;43556;2784;472;21141;1315;17845
1997;Graubuenden;0;1573301;70569;3207;67362;125149;70047;15269;16021;14385;0;9427;249131;70076;7438;66188;53970;19333;27878;0;4249;32265;13946;13090;0;5229;0;162703;150970;5746;3094;0;2893;196062;46033;27340;44112;2671;38862;6835;30078;0;130;320267;290736;29531;0;0;55576;4540;15568;5969;16178;2777;0;6013;4531;321601;221299;46552;8006;6778;3795;0;35171;0;39979;3231;181;19005;1293;16268
1998;Graubuenden;0;1778998;68664;2796;65869;128970;70331;15926;16098;17733;0;8882;246196;62319;7205;66635;70395;19838;15450;0;4353;32450;14297;14484;0;3663;7;176981;164379;4858;3202;0;4542;205847;50398;28920;48584;1786;39641;5698;30689;0;130;522446;306855;215591;0;0;56483;4018;15335;4796;16482;3752;0;6438;5662;300570;203465;45717;7916;6607;4246;0;32617;0;40391;3651;353;19429;1315;15642
1999;Graubuenden;0;1770590;72082;3154;68929;126048;70251;15088;16767;17029;0;6912;249809;58710;8329;69493;72438;20671;16516;0;3651;31014;13360;14496;0;3158;0;168608;157116;3144;4109;0;4239;188755;51553;29726;52922;2074;10287;4396;37697;0;100;522982;333959;189023;0;0;52390;3965;14242;4885;15188;2659;0;5316;6136;318951;212974;47107;7760;7035;3681;0;40392;0;39951;4246;0;19274;1241;15190
