Year,Total expenditure,General administration,Executive and legislative organs,General services,International relations,R&D general services,"Public order and security, defense",Public security,Administration of justice,Prison system,General legal issues,Fire protection services,Defense,"R&D public order and security, defense",Education,Obligatory schooling,Special schools,Basic vocational training,General education schools,Post-secondary vocational education,Tertiary-level institutions,Research,Other education,"Culture, sport and leisure, church",Cultural heritage,Other culture,Media,Sporting and recreational services,Churches and religious services,"R&D culture, sport and leisure, church",Health,"Hospital, convalescent and nursing home services",Outpatient care,Preventive healthcare,R&D health,Health n.e.c.,Social security,Sickness and accident,Disability,Old age and survivors,Family and young people,Unemployment,Subsidized housing,Social welfare and asylum affairs,R&D social welfare,Social welfare n.e.c.,Transportation and telecommunications,Road transportation,Public transportation,Other transportation,Telecommunications,R&D transportation and telecommunications,Protection of the environment and spatial planning,Water supply,Sewage disposal,Waste management,Control structures,Protection of biodiversity and landscape,Anti-pollution,Other environmental protection,R&D environmental protection,Spatial planning,National economy,Agriculture,Forestry,Hunting and fishing,Tourism,"Industry, commerce and trade",Banks and insurance companies,Fuel and energy,R&D national economy,Other commercial operations,Finances and taxes,Taxes,Tax agreements,Fiscal equalization and cost compensation,Revenue shares in federal receipts without appropriation,Other revenue shares without appropriation,Asset and debt management,Redistribution,Undivided items,Canton
1999,241192,19258,1909,17349,,,19471,7749,3553,1589,3564,308,2708,,36175,1716,2549,12507,12823,1702,3065,,1815,3298,1922,636,,705,36,,18401,17199,41,840,,321,36946,7543,8873,11211,1295,594,391,7030,,10,54372,51161,3212,,,,8549,,1048,141,4239,593,,1454,,1074,22450,18487,3106,390,199,197,,71,,,22271,740,,10052,,3398,8081,,,Nidwalden
2000,266450,17170,2465,14705,,,20959,8020,3659,1607,3764,56,3853,,36478,1768,2660,9537,14346,2780,3386,,2001,3999,2304,785,,777,133,,20719,19204,46,1028,,441,38799,7423,10275,12746,1406,520,376,6049,,5,62717,59604,3113,,,,10392,,1824,128,4791,613,,1889,,1147,30621,19280,10270,422,203,373,,73,,,24596,853,,11986,,3653,8104,,,Nidwalden
2001,306802,16721,2598,14123,,,24620,8591,3802,1918,3514,68,6727,,36703,1997,2945,9229,12810,446,7039,,2237,3908,2406,768,,698,36,,54062,52227,64,1239,,532,41460,10882,10524,12008,1131,1059,433,5419,,5,66455,61965,4490,,,,9548,,601,426,5013,647,,1699,,1161,26152,19438,5684,422,215,295,,99,,,27172,674,,12963,,5368,8167,,,Nidwalden
2002,356464,24854,2566,22288,,,23476,9624,4228,1871,3697,205,3852,,41669,2009,3124,10035,16328,169,7556,,2448,2977,1421,749,,710,97,,56718,54904,69,1201,,544,43907,10925,10697,12796,1660,1184,566,6075,,5,63455,58846,4609,,,,10728,,1365,616,5249,647,,1940,,912,62058,21283,4688,414,212,337,5000,30123,,,26622,498,,14649,,3383,8093,,,Nidwalden
2003,351914,18885,2416,16469,,,27168,12975,4471,1988,4139,211,3383,,43518,1582,4591,11072,16333,170,7348,,2422,3954,2299,884,,736,35,,55047,53380,77,968,,622,45520,9617,11913,13643,1466,1817,670,6389,,5,87941,80212,7729,,,,12126,,1014,51,5981,696,,2065,,2320,28899,22448,5410,428,211,225,,177,,,28855,483,,16465,,4557,7350,,,Nidwalden
2004,354698,19503,2309,17194,,,28977,14063,4360,1906,4546,210,3892,,47894,2329,6561,13116,14866,684,7982,,2356,4199,2525,868,,762,45,,58937,56842,51,1460,,585,46101,9468,11524,14037,1572,2329,684,6481,,5,80309,73672,6637,,,,11577,,1146,3,6090,807,,2157,,1375,27846,22429,4339,418,212,225,,222,,,29355,907,,16640,,4919,6889,,,Nidwalden
2005,383391,20408,2281,18127,,,34699,14429,4421,1849,4558,306,9136,,50142,3368,4147,14044,17211,1207,7854,,2310,4046,1940,916,,1151,39,,56343,54561,53,1132,,596,47815,9494,12506,14558,1978,2228,698,6348,,5,92678,76506,16172,,,,20417,,1296,20,13094,764,,2272,,2971,29644,24137,4173,466,328,265,,275,,,27198,773,,16853,,3515,6057,,,Nidwalden
2006,364054,20605,2618,17987,,,37966,14145,4511,1861,4709,257,12483,,50575,4909,4275,13329,15130,2105,8490,,2339,3707,1785,771,13,1060,79,,57384,55495,49,1126,,713,48710,11237,11375,14556,2194,2283,701,6357,,6,73333,66237,7097,,,,15801,,1372,,10520,702,,1850,,1357,29140,23343,4474,459,301,260,,304,,,26833,670,,16802,,4428,4932,,,Nidwalden
2007,390440,18947,2360,16587,,,40953,14131,4790,2224,4607,270,14932,,57024,5284,3607,15090,19367,2372,8842,,2463,4741,2628,1028,,1039,46,,63403,61381,47,1250,,725,57575,12740,16097,15547,3600,2109,725,6752,,6,71488,65031,6430,28,,,12861,,1076,,6545,731,,1811,,2699,33459,25765,6110,476,336,479,,293,,,29988,519,,18313,,5556,5600,,,Nidwalden
2008,354325,20936,2352,18584,,,25921,9227,4629,2159,4308,237,5360,,48117,2872,3918,13726,12291,1914,10916,,2480,3902,1995,852,,971,83,,48674,46594,45,302,,1733,43805,13236,10961,6052,6058,266,464,6762,,6,75887,68011,7802,74,,,8598,,1665,11,3815,741,28,1761,,577,32901,23806,3836,488,468,3854,,448,,,45584,538,,32183,,8194,4669,,,Nidwalden
2009,331531,21813,2597,19216,,,30544,9726,5326,3007,4617,144,7725,,49256,2052,4031,13837,13562,2412,10743,,2619,4115,1999,928,,1125,63,,35045,32801,37,350,,1856,47330,14438,11502,6101,6196,322,526,8238,,6,53575,38072,15386,117,,,10254,,1059,442,5278,1104,119,1752,,500,31419,23975,2029,601,471,3721,,622,,,48179,373,,35585,,7873,4349,,,Nidwalden
2010,331082,22100,3249,18851,,,32703,9211,5750,2335,5002,140,10265,,51345,2148,4114,14338,13989,2485,11839,,2432,5049,1865,2233,,925,25,,42979,40672,53,606,,1648,50674,17771,12061,6501,6844,298,50,7147,,1,40783,24294,15275,1213,,,13202,,1261,563,7865,910,330,1572,,701,36331,25688,1738,489,396,7621,,399,,,35917,499,,22756,,8338,4325,,,Nidwalden
2011,385203,23276,3549,19727,,,31114,9953,7032,2292,5150,,6687,,54010,2281,4580,14395,16428,1934,12008,,2383,6273,1543,3539,,1145,47,,89349,85700,1120,449,,2080,53016,18225,16576,7148,3076,295,66,7629,,1,40202,22079,15550,2573,,,12063,,133,59,8012,720,699,1563,,876,38450,26051,1872,527,269,8881,,850,,,37449,860,,22752,,9761,4076,,,Nidwalden
2012,327888,23363,3088,20275,,,32616,10090,8624,2505,5579,,5819,,59454,2184,4553,14819,19981,2447,13149,,2321,4911,1704,2280,,867,60,,45288,41593,1190,451,,2053,55983,18093,16900,7719,4962,286,103,7921,,,30152,15541,11334,3276,,,6066,,135,,2535,817,370,1645,,563,33938,24573,4764,530,259,3474,,339,,,36118,440,,22797,,9580,3301,,,Nidwalden
2013,333605,24228,3233,20994,,,32788,9893,7905,3233,6309,,5448,,57097,2127,4092,14999,18721,2450,12508,,2200,5672,2021,2434,,1196,21,,46807,43169,1415,455,,1768,59998,18802,17726,8428,4690,322,57,9973,,,26475,12217,12743,1515,,,6966,,,64,3406,816,447,1609,,625,34441,24935,4174,515,197,3924,,696,,,39132,698,,25975,,9593,2866,,,Nidwalden
2014,331728,25524,3227,22297,,,34211,10510,8171,3205,6736,,5587,,51133,1954,4357,13792,14424,2418,11898,30,2261,5737,1739,2813,,1156,29,,46270,42423,1581,175,,2091,57622,15028,17999,9297,4371,390,51,10466,,19,24801,10304,13768,730,,,11879,,,,8581,783,412,1506,,597,36582,26364,4463,529,162,4517,,463,,85,37969,948,,27603,,6533,2885,,,Nidwalden
2015,334405,25443,3219,22224,,,36111,11353,9089,3055,6822,,5792,,52798,1977,4467,14944,13043,2724,13248,14,2382,5938,2200,2641,,1073,25,,46273,42715,1638,172,,1749,58500,13850,19356,8606,4862,340,50,11434,,3,25162,11742,12544,876,,,9491,,,,6073,816,399,1530,,673,33637,24905,4114,574,178,3481,,386,,,41051,539,,30359,,7407,2746,,,Nidwalden
2016,350877,23611,3012,20598,,,34980,11551,8550,2778,6753,,5347,,53510,2111,4924,15034,12712,2864,13611,14,2239,6374,2667,2433,,1197,77,,49637,45630,1897,180,,1931,63378,13853,21109,8811,5383,373,249,13597,,5,23198,10962,11570,667,,,9804,,,,6086,863,736,1518,,602,34179,24544,3559,605,240,4979,,252,,,52205,599,,41643,,7382,2582,,,Nidwalden
2017,359542,24174,2920,21254,,,34143,11380,8223,2534,7115,,4892,,52995,2049,4728,14726,12915,2741,13595,17,2224,5227,1642,2372,,1188,26,,54955,50175,2557,222,,2002,62389,16311,17670,10018,4518,407,101,13356,,9,25832,14731,10319,782,,,8187,,,,4492,851,819,1499,,525,36280,24430,3572,512,1434,6095,,238,,,55359,548,,47426,,5001,2384,,,Nidwalden
2018,385394,25024,3268,21756,,,35012,11587,8141,2393,7251,,5641,,53650,2179,5061,14851,13188,2563,13592,20,2196,6310,2371,2544,,1375,20,,53725,48739,2998,218,,1771,61313,15348,17466,10010,4916,384,7,13175,,6,34262,12909,10588,10765,,,11474,,,,8072,838,441,1546,,576,37050,25002,4181,499,1623,4239,,1506,,,67573,1574,,55059,,8376,2564,,,Nidwalden
2019,392907,25953,3438,22515,,,35715,12085,8205,2389,7254,,5783,,52112,2127,5048,14485,12667,2245,13219,17,2305,5994,2074,2203,,1697,20,,57354,52081,2986,248,,2038,64250,17969,17402,10557,4762,364,7,13182,,7,31526,14011,16835,681,,,15852,,,,11938,860,870,1528,,657,34581,25055,1524,620,1709,4513,,1161,,,69570,669,,56855,,9728,2317,,,Nidwalden
2020,395713,26517,3051,23466,,,44217,11641,8747,2695,7478,,13655,,52408,2536,4916,13936,12592,2302,13853,22,2249,6459,2654,2379,,1416,10,,57588,51629,3287,291,,2380,64439,16751,18598,10465,5079,417,7,13114,,9,32680,19441,12314,925,,,11795,,,,7887,878,812,1571,,647,36052,25053,1679,659,1474,5853,,1333,,,63559,814,,53332,,7233,2180,,,Nidwalden
1990,265015,13199,1411,11787,,,19141,7854,2293,152,2068,40,6735,,40696,23005,1433,7397,5609,738,2055,,459,4210,1263,1495,,1452,,,37023,35006,312,801,,903,20144,1228,4083,11871,385,363,1467,747,,1,23960,22775,1185,,,,8976,,6374,,1177,3,,1161,,261,39659,13067,25182,668,,742,,,,,58008,,,3268,,52497,2242,,,Glarus
1991,289716,17892,1515,16377,,,21125,8285,2542,264,2595,26,7414,,44461,24939,1216,8140,6580,945,2165,,478,4687,1621,1722,,1344,,,37981,36344,361,821,,454,23575,1750,4807,13515,403,365,1309,1426,,1,24801,24334,467,,,,10947,,6584,,2174,95,,1757,,337,45046,13896,24887,692,,571,5000,,,,59201,,,3426,,52873,2902,,,Glarus
1992,274861,19940,1624,18316,,,21913,8799,2793,339,2501,51,7430,,49255,24937,1221,11757,7186,1113,2428,,611,5016,1234,2682,,1099,,,42914,41096,402,918,,499,24247,1649,5512,13580,434,473,1108,1490,,1,16874,16039,835,,,,11574,,6593,4,1371,78,,3191,,336,23358,15529,6995,727,,107,,,,,59771,,,3403,,52848,3520,,,Glarus
1993,293034,17152,1537,15614,,,22191,9298,3548,561,2652,,6132,,53204,27073,4017,10559,7412,1178,2465,,499,6546,2608,2453,,1486,,,43406,41607,453,833,,512,30513,1736,6408,13923,519,5621,725,1580,,1,17554,16684,870,,,,8214,,5270,3,1234,78,,1267,,362,29600,17478,11005,732,,384,,,,,64655,,,3533,,57615,3507,,,Glarus
1994,294605,16439,1659,14780,,,23373,10150,3561,583,2717,,6361,,54142,29238,1977,10510,7807,1578,2488,,544,3917,887,2041,,989,,,48574,47012,172,897,,493,29494,1665,7097,14063,660,3057,1141,1811,,,15471,14564,907,,,,7955,,3022,10,2175,96,,1941,,711,31881,19191,10916,752,,1023,,,,,63359,,,3578,,56376,3405,,,Glarus
1995,305962,15473,1664,13809,,,25469,12899,3550,433,2733,,5854,,56179,29424,1909,11307,8739,1459,2786,,555,4373,787,1780,1,1805,,,53138,51310,215,881,,731,28949,1718,7688,15321,707,856,703,1955,,1,17160,16136,1024,,,,7981,,3928,,1982,123,,1500,,448,29614,18888,8988,856,,883,,,,,67628,,,3884,,60078,3665,,,Glarus
1996,329364,15417,1713,13703,,,28204,15427,3593,542,2943,,5699,,56772,29541,2408,11011,8497,1589,3152,,573,4844,1533,1749,1,1561,,,58156,56286,130,921,,819,31001,3273,7225,13270,577,4084,614,1958,,1,21533,18230,3303,,,,7311,,3709,,1677,116,,1541,,268,37176,22772,8539,866,,,5000,,,,68951,,,3772,,61578,3601,,,Glarus
1997,348574,15152,1678,13475,,,23697,11519,3721,341,2857,,5258,,58503,30809,2184,11402,8497,1770,3280,,563,4971,985,1927,9,2051,,,66360,64457,124,884,,895,47158,13496,7632,14140,738,9022,649,1482,,1,24148,10258,13890,,,,6023,,2787,,1277,162,,1517,,280,36593,23249,7450,880,,2,5000,12,,,65970,,,3659,,58817,3494,,,Glarus
1998,336786,15508,1791,13717,,,24993,10856,4703,979,3464,,4990,,58280,29605,2425,12082,8763,3016,1825,,564,4362,945,1852,8,1558,,,66531,64720,128,847,,835,43422,9975,8130,14227,577,8091,965,1456,,1,15648,11187,4461,,,,6010,,2840,,1078,136,,1547,,409,35540,22549,7143,837,,,5000,11,,,66493,,,3524,,58852,4118,,,Glarus
1999,332900,16207,1753,14454,,,23577,10785,3931,1191,3510,,4160,,60762,30081,2736,11670,9530,3694,2464,,587,4646,1473,2246,3,924,,,65652,63947,77,879,,749,40114,10231,8933,16423,610,1738,344,1835,,1,14588,12682,1905,,,,6507,,2484,,1701,303,,1554,,464,33940,23859,9118,886,60,2,,15,,,66907,,,3508,,59993,3406,,,Glarus
2000,343769,17647,1793,15854,,,23891,10944,4066,1357,3476,,4048,,63192,30743,2809,13502,10099,2326,2874,,840,5125,1132,2170,42,1781,,,65364,63649,144,884,,686,39134,9491,9467,16448,659,1501,257,1312,,,17302,15285,2016,,,,5931,,2230,,1340,122,,1524,,716,33869,24036,8708,1052,60,2,,11,,,72313,,,3709,,64764,3841,,,Glarus
2001,347541,20294,1863,18431,,,24368,11055,4531,1052,3477,,4254,,63854,30132,2515,14604,10211,883,4867,,642,7105,1484,2176,48,3398,,,67742,65839,135,921,,847,40682,10170,10432,16474,689,1287,119,1511,,,19147,16730,2417,,,,5762,,1110,,2226,167,,1586,,673,30855,23596,6207,942,60,,,50,,,67732,,,4057,,60274,3402,,,Glarus
2002,378827,22026,1935,20091,,,26866,13979,4052,700,4026,,4110,,67279,32719,3158,14247,10196,869,5413,,677,8463,1657,2525,13,4268,,,68764,66745,143,911,,965,52268,18677,10454,19212,635,1429,350,1511,,,27646,25008,2637,,,,7058,,2164,,2470,132,,1627,,664,33468,25444,7007,956,60,,,,,,64989,,,3848,,56971,4169,,,Glarus
2003,384038,17064,1680,15385,,,28737,16484,3807,544,3832,,4071,,73291,35319,3687,15847,10321,971,6415,,731,6398,1354,2174,3,2868,,,65872,63849,124,892,,1007,56989,20531,12846,19228,713,1800,348,1523,,,28557,25884,2673,,,,6355,,297,,3624,169,,1585,,680,32691,25712,5683,945,60,,,290,,,68083,,,4024,,60512,3547,,,Glarus
2004,368686,17037,1682,15355,,,24095,11430,3547,912,3628,,4578,,73571,34327,3726,17326,10150,978,6361,,702,10947,923,2152,16,7855,,,63204,61217,115,887,,985,56199,19808,13133,18663,700,2256,255,1383,,,18716,15953,2764,,,,5591,,354,,3266,203,,1058,,711,30844,25049,4788,874,,,,132,,,68483,,,3926,,58729,5828,,,Glarus
2005,368775,17099,1656,15443,,,23811,11387,3571,904,3836,,4114,,81849,34485,3853,24243,10154,1077,7328,,709,5353,635,1891,10,2818,,,62937,61130,106,749,,952,50954,15596,13140,17389,664,2448,11,1707,,,20654,17581,3073,,,,6911,,437,,3998,288,,1394,,794,29981,24823,4187,832,,,,138,,,69228,,,4041,,58502,6684,,,Glarus
2006,364930,18147,1768,16378,,,24502,11850,3735,1102,3654,,4162,,71831,32689,3354,15486,9783,1373,8421,,724,3821,799,1819,12,1192,,,65019,63316,99,756,,849,51392,13956,13770,16708,702,2564,40,3653,,,22655,19565,3090,,,,6147,,206,,3851,170,,1097,,823,30188,24218,4962,795,,,,212,,,71228,,,4239,,61643,5345,,,Glarus
2007,375595,19865,1719,18146,,,24092,11827,3722,1221,4084,,3238,,71184,31491,3425,16265,9624,229,9405,,747,4135,471,2159,16,1490,,,66013,64303,114,726,,871,54564,12619,15493,16461,705,2703,,6583,,,24041,19830,4211,,,,8697,,49,,6450,206,,1142,,850,29416,24528,3866,772,,,,250,,,73586,,,4467,,63841,5278,,,Glarus
2008,387963,21601,1843,19759,,,26165,12442,4795,947,4977,,3004,,81017,31993,8770,17393,10981,91,11038,,750,3927,606,2227,,1094,,,56727,54702,96,773,,1156,60605,11681,14166,9182,4585,2315,10,18665,,,18570,13407,5049,115,,,9821,,110,,7705,644,4,1357,,,57219,24210,3783,893,2070,1262,25000,,,,52311,,,647,,47020,4643,,,Glarus
2009,377000,21813,1787,20026,,,27543,13265,5752,872,4977,,2677,,83523,33321,9268,17745,10827,73,11505,,785,4299,719,2514,87,979,,,58572,56290,762,762,,758,64189,13018,13856,10347,4628,2704,,19636,,,17908,12026,5881,,,,10378,,196,,7116,1001,11,2055,,,34579,25405,6041,894,,1593,,646,,,54197,,,647,,49238,4311,,,Glarus
2010,380764,21166,1950,19216,,,30127,12995,6153,1214,6418,,3346,,85211,33772,10489,16929,10719,107,12341,,854,4769,913,2820,40,996,,,58991,56571,814,783,,824,69301,14870,14725,11319,4618,2772,,20997,,,18492,12899,5593,,,,10407,,152,,7555,1082,,1618,,,34750,25248,5381,850,,1554,,1716,,,47551,,,647,,43566,3338,,,Glarus
2011,342212,34855,2073,32782,,,29252,12750,5227,1404,6618,903,2350,,58061,6445,11475,18336,10346,1287,9326,,847,5727,2657,2051,45,974,,,61349,59169,723,1089,,369,73390,17054,16512,8418,6060,3008,,22338,,,18647,12059,6588,,,,9967,,61,68,7243,1147,299,1150,,,36979,26423,7325,887,70,1273,,1002,,,13986,32,,1647,,9132,3175,,,Glarus
2012,304781,19304,2305,16999,,,29240,12602,5477,1132,6694,799,2537,,60728,5739,14562,17010,10747,2098,9657,,915,5029,2197,1929,31,872,,,47261,45206,719,992,,344,73253,14415,17255,8359,6650,2853,,23720,,,18042,12314,5728,,,,6771,,134,82,2673,1188,1344,1144,,206,38153,27264,6914,900,,1314,,1761,,,7000,83,,1647,,2747,2521,,,Glarus
2013,320318,20658,2186,18472,,,30334,13898,5348,1359,6300,801,2628,,63803,5353,13702,18450,12748,2330,10268,,953,5359,2259,2240,24,836,,,43239,41007,744,1181,,307,80969,15799,18927,9716,7321,2901,,26306,,,16340,10349,5990,,,,7709,,263,59,2414,1253,2285,1180,,255,44069,28716,6362,1293,47,1382,,6268,,,7838,366,,1636,,2985,2850,,,Glarus
2014,343824,19650,2235,17415,,,30717,13504,4857,1899,6228,963,3265,,66265,6867,13358,17395,14690,2283,10772,,901,4896,1559,2481,14,842,,,46399,44797,124,1143,,336,84306,13954,19736,10515,7498,2785,,29817,,,16489,9766,6723,,,,4873,,153,68,1058,950,1283,1189,,171,58721,31591,9099,973,123,1589,7974,6537,,835,11508,613,,5136,,3124,2635,,,Glarus
2015,340180,23188,2062,21126,,,30541,13110,4896,2172,6530,994,2840,,65262,5767,14023,16735,14464,2581,10826,,867,4999,1781,2278,23,917,,,44140,42560,119,1037,,425,88486,15393,22811,10846,7824,2860,,28751,,,18935,10226,8709,,,,6968,,221,74,2537,948,1764,1179,,244,47091,31792,7335,923,168,1528,,5346,,,10570,789,,5136,,3479,1166,,,Glarus
2016,341756,19412,2226,17186,,,31250,13370,5740,2100,6742,973,2324,,61490,5770,12893,16989,10784,3287,10859,,909,5374,1578,2183,4,1609,,,45230,43756,111,970,,393,85821,15582,19346,11301,7556,2815,,29220,,,26266,12883,13384,,,,8620,,129,77,1680,1227,3576,1606,,324,51541,33110,8797,997,162,1525,,6950,,,6752,636,,1604,,3575,938,,,Glarus
2017,348089,19995,2289,17706,,,33343,14137,5596,2280,6729,957,3644,,62741,5498,12713,17232,12139,3274,10999,,886,7417,2076,2271,30,3041,,,46510,45048,109,976,,376,85496,17825,19238,11521,6892,2989,,27031,,,24848,13431,11418,,,,6273,,155,73,1437,1227,1725,1278,,378,55060,34194,9285,1040,220,1348,,8963,,11,6405,485,,1572,,3761,587,,,Glarus
2018,349478,19814,2410,17404,,,34645,13869,6094,2476,6945,1056,4205,,60141,5419,12494,17247,10206,2940,10909,,927,6056,2147,2243,4,1662,,,46821,45073,178,1172,,398,86992,18731,18181,11695,7022,2851,,28511,,,24495,13577,10917,,,,9231,,121,50,3842,1283,2131,1492,,313,54450,33227,9305,982,208,1482,,9246,,,6833,584,,2276,,3602,371,,,Glarus
2019,359174,19953,2541,17412,,,36123,14249,6648,3328,7333,1202,3361,,62389,5116,13507,18312,10350,3003,11102,,999,8621,3667,2100,7,2848,,,49077,47071,167,1117,,723,88756,19288,25804,12301,7718,2702,,20942,,,31147,20149,10969,28,,,14557,,,79,9327,2284,1162,1482,,223,41064,34114,1551,1026,130,1538,,2705,,,7487,531,,2995,,3599,362,,,Glarus
2020,367654,21809,2165,19644,,,39186,15356,6781,3664,7166,1270,4949,,63211,5146,12802,19498,10286,3030,11443,,1005,11776,3729,2257,4,5786,,,51999,49502,367,1407,,722,89093,19417,25540,13028,8083,2793,,20231,,,29454,17855,11571,27,,,12652,,,77,8359,1541,1032,1458,,184,40410,32511,1581,1018,2,1633,,3665,,,8064,407,,2464,,4893,300,,,Glarus
1990,1253474,69579,2762,66817,,,124513,43174,13421,13344,21287,132,33154,,400138,139120,15753,65146,39735,16270,116710,,7403,26128,15214,7942,178,2624,170,,173581,163557,1198,5487,,3339,141030,8899,29746,72773,5350,1361,2922,19785,,195,107491,90762,16504,225,,,63446,,48750,20,5632,3,,9,,9030,96313,69393,23562,2122,857,353,,25,,,51256,3474,,2018,,11257,34508,,,Fribourg
1991,1458826,78528,3168,75359,,,139722,50260,16139,16099,21703,438,35081,,461814,176687,18350,75946,44162,15082,123350,,8236,30796,18065,9128,157,2920,526,,204007,191744,1904,6202,,4158,167354,10070,33704,79758,4585,1677,3725,33546,,288,138547,121433,16872,242,,,48262,,34684,600,5231,268,,3,,7475,129812,102009,23609,2322,1464,330,,78,,,59985,4415,,43,,11757,43770,,,Fribourg
1992,1546672,80483,3044,77438,,,141990,53247,19354,17502,24290,543,27055,,508455,188365,21543,81560,57187,17166,135973,,6661,30301,17983,8884,166,2925,343,,228521,213886,1931,8109,,4595,183098,11340,39346,87423,5045,2240,3827,33666,,210,127906,109453,18213,240,,,53921,,34959,2298,8855,369,,14,,7427,128378,97381,22990,2472,1361,3758,,416,,,63620,6489,,,,13036,44094,,,Fribourg
1993,1759051,88897,2944,85953,,,143294,55344,19902,18493,22546,433,26576,,551431,203551,21636,82615,61299,28602,146854,,6872,30389,17997,8995,156,2968,272,,250337,231305,6052,8411,,4569,246792,12449,46029,87615,5399,56001,4403,34813,,83,189599,167220,22088,292,,,44680,,26219,-41,8876,524,,28,,9074,143730,112629,23715,2359,1734,2716,,577,,,69903,5474,,,,13360,51069,,,Fribourg
1994,1749003,83314,3134,80181,,,137598,53730,20091,19479,22477,405,21417,,558074,201767,22624,81885,59068,41764,143919,,7047,31597,18937,9152,118,2955,434,,247027,228329,5456,8639,,4603,221831,12891,48721,85640,5289,30276,5150,33608,,256,185716,162291,23079,346,,,42720,,26387,1182,7395,472,,56,,7228,163753,131435,25076,2374,2517,2032,,320,,,77372,8866,,,,14873,53634,,,Fribourg
1995,1742358,88289,3161,85128,,,137365,53621,21437,18695,23004,459,20150,,545912,205210,21478,78001,49436,37920,146783,,7083,33161,19991,9975,268,2621,308,,229722,211327,4525,8967,,4903,211884,16802,52688,88185,5543,9165,6433,33032,,36,218931,187683,29853,1394,,,34809,,21656,809,5718,669,,85,,5872,164403,133525,24173,2311,2366,1981,,49,,,77883,14863,,,,15491,47529,,,Fribourg
1996,1903215,87973,3603,84370,,,144467,57856,23251,19194,23695,428,20043,,585543,224044,21194,92323,44472,34289,162190,,7031,35737,21403,10832,,3272,231,,217452,200326,4954,8863,,3308,261270,46721,50575,74767,5185,33484,8814,41669,,55,260109,228622,30926,253,308,,45280,,27368,1963,7648,768,,1286,,6247,190133,161806,23366,2465,1729,688,,79,,,75251,11918,,,,15894,47439,,,Fribourg
1997,2001240,90502,3361,87141,,,152637,65297,24835,19624,25376,471,17035,,583914,226468,23622,95648,46709,24428,159480,,7559,38859,22282,12909,,3439,229,,231818,215735,3697,9888,,2498,322748,70951,53438,76779,6486,57973,11113,45934,,75,254155,226827,26503,237,587,,45755,,27273,1665,7100,807,,873,,8037,206457,171731,29257,2533,2020,819,,97,,,74395,11671,,,,16136,46588,,,Fribourg
1998,2023471,103155,3237,99918,,,155448,63099,26225,20895,27258,471,17500,,603185,249290,24150,74066,61985,37103,148838,,7753,36816,20371,12623,,3763,59,,228874,212887,2253,10913,,2821,324470,83876,59246,80183,4992,34739,9298,52070,,66,248369,215420,32061,371,517,,48027,,26327,5980,6116,1082,,255,,8267,202831,169674,26207,2585,2102,1802,,461,,,72296,11772,,,,16627,43896,,,Fribourg
1999,2045604,98368,3539,94829,,,156419,63213,27876,20724,28302,759,15545,,634925,260810,22515,82139,66433,37496,157706,,7825,35411,18853,12836,,3663,60,,269286,252375,1940,11255,,3716,328348,90734,59629,84181,4967,12074,10174,66498,,89,204497,179653,24327,200,317,,46631,368,29483,1588,5492,996,,352,,8352,200449,168339,24158,2495,2085,2798,,574,,,71270,13794,,,,17261,40215,,,Fribourg
2000,2107723,99696,3947,95749,,,161467,67916,28280,20792,28957,515,15007,,660223,265601,25667,87105,71138,17507,185149,,8055,35342,18431,13257,,3594,60,,274987,257969,2129,11052,,3838,337966,104715,64978,85360,5598,9373,8450,59335,,157,187599,169395,16808,938,458,,52081,888,25952,5496,6486,1067,,322,,11870,227038,172182,48924,2694,2293,753,,192,,,71324,12058,,,,17738,41529,,,Fribourg
2001,2194188,98772,5022,93750,,,170701,75326,29856,21013,28718,578,15211,,686934,273077,26944,87371,69959,5367,215950,,8268,38545,16589,18618,,3279,59,,289786,270525,2155,11718,,5388,335332,104999,73851,85737,6361,4627,8291,51399,,65,165044,145017,19094,438,495,,48219,20,23281,7485,5820,1109,,401,,10103,270120,188358,34612,2709,2604,756,,41082,,,90734,18672,,,,19056,53007,,,Fribourg
